timestamp,cement_category,product_name,total_feed_tph,feed_bin,mill_sound_pct,be_amp,sound_status,amp_status,interpretation,tph_change,recommendation,reason,caution,sound_q25,sound_median,sound_q75,amp_q25,amp_median,amp_q75
2026-04-01 15:27:30,0,PPC,120.0,120-122,70.0,55.0,stable,stable,Optimal,0,Maintain current feed,Mill sound is 'stable' and bucket elevator condition is 'stable' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-01 15:27:41,0,PPC,120.0,120-122,60.0,58.0,overloaded,high_circulation,Severe overload,-3,Reduce feed by 3 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'high_circulation' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-01 15:27:50,0,PPC,120.0,120-122,65.0,58.0,overloaded,high_circulation,Severe overload,-2,Reduce feed by 2 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'high_circulation' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-01 15:27:57,0,PPC,120.0,120-122,75.0,58.0,stable,high_circulation,Overload tendency,-1,Reduce feed by 1 TPH,Mill sound is 'stable' and bucket elevator condition is 'high_circulation' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-01 15:32:26,0,PPC,114.0,114-116,80.0,55.0,stable,stable,Optimal,0,Maintain current feed,Mill sound is 'stable' and bucket elevator condition is 'stable' for feed bin 114-116.,,64.92,74.65,81.11,50.01,52.41,55.24
2026-04-01 15:32:31,0,PPC,114.0,114-116,80.0,50.0,stable,low_circulation,Low utilization,1,Increase feed by 1 TPH,Mill sound is 'stable' and bucket elevator condition is 'low_circulation' for feed bin 114-116.,,64.92,74.65,81.11,50.01,52.41,55.24
2026-04-01 15:41:27,0,PPC,117.0,116-118,80.0,50.0,stable,stable,Optimal,0,Maintain current feed,Mill sound is 'stable' and bucket elevator condition is 'stable' for feed bin 116-118.,,66.86,75.12,80.16,49.82,52.8,55.7
2026-04-01 15:41:36,0,PPC,117.0,116-118,85.0,50.0,underloaded,stable,Mild underload,1,Increase feed by 1 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'stable' for feed bin 116-118.,,66.86,75.12,80.16,49.82,52.8,55.7
2026-04-01 15:43:48,0,PPC,117.0,116-118,85.0,65.0,underloaded,high_circulation,Conflicting condition,1,Increase feed by 1 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'high_circulation' for feed bin 116-118.,Check circulation or separator condition before making a large feed correction.,66.86,75.12,80.16,49.82,52.8,55.7
2026-04-01 17:49:34,1,OPC,120.0,120-122,90.0,55.0,underloaded,low_circulation,Underload,3,Increase feed by 3 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'low_circulation' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
2026-04-01 17:51:17,1,OPC,120.0,120-122,50.0,65.0,overloaded,stable,Overloaded,-3,Reduce feed by 3 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'stable' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
2026-04-01 17:51:30,1,OPC,120.0,120-122,70.0,65.0,stable,stable,Optimal,0,Maintain current feed,Mill sound is 'stable' and bucket elevator condition is 'stable' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
2026-04-01 17:52:28,1,OPC,120.0,120-122,65.0,65.0,stable,stable,Optimal,0,Maintain current feed,Mill sound is 'stable' and bucket elevator condition is 'stable' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
2026-04-01 17:52:32,1,OPC,120.0,120-122,60.0,65.0,overloaded,stable,Overloaded,-1,Reduce feed by 1 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'stable' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
2026-04-01 17:52:38,1,OPC,120.0,120-122,50.0,65.0,overloaded,stable,Overloaded,-3,Reduce feed by 3 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'stable' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
2026-04-02 10:10:27,1,OPC,117.0,116-118,85.0,50.0,underloaded,low_circulation,Underload,2,Increase feed by 2 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'low_circulation' for feed bin 116-118.,,68.66,72.88,81.86,57.9,63.59,68.64
2026-04-02 10:11:04,1,OPC,117.0,116-118,90.0,45.0,underloaded,low_circulation,Underload,3,Increase feed by 3 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'low_circulation' for feed bin 116-118.,,68.66,72.88,81.86,57.9,63.59,68.64
2026-04-02 10:11:13,1,OPC,117.0,116-118,70.0,55.0,stable,low_circulation,Low utilization,1,Increase feed by 1 TPH,Mill sound is 'stable' and bucket elevator condition is 'low_circulation' for feed bin 116-118.,,68.66,72.88,81.86,57.9,63.59,68.64
2026-04-02 10:11:26,1,OPC,117.0,116-118,60.0,60.0,overloaded,stable,Overloaded,-2,Reduce feed by 2 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'stable' for feed bin 116-118.,,68.66,72.88,81.86,57.9,63.59,68.64
2026-04-02 10:11:40,1,OPC,117.0,116-118,60.0,70.0,overloaded,high_circulation,Severe overload,-3,Reduce feed by 3 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'high_circulation' for feed bin 116-118.,,68.66,72.88,81.86,57.9,63.59,68.64
2026-04-02 12:18:31,1,OPC,118.0,118-120,90.0,45.0,underloaded,low_circulation,Underload,2,Increase feed by 2 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'low_circulation' for feed bin 118-120.,,63.23,69.43,83.63,55.62,60.39,66.04
2026-04-02 12:26:57,0,PPC,118.0,118-120,65.0,55.0,overloaded,stable,Overloaded,-1,Reduce feed by 1 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'stable' for feed bin 118-120.,,65.49,75.14,80.2,49.91,53.43,56.17
2026-04-02 13:04:25,0,PPC,118.0,118-120,80.0,65.0,stable,high_circulation,Overload tendency,-1,Reduce feed by 1 TPH,Mill sound is 'stable' and bucket elevator condition is 'high_circulation' for feed bin 118-120.,,65.49,75.14,80.2,49.91,53.43,56.17
2026-04-02 13:04:34,0,PPC,118.0,118-120,86.0,65.0,underloaded,high_circulation,Conflicting condition,1,Increase feed by 1 TPH,Mill sound is 'underloaded' and bucket elevator condition is 'high_circulation' for feed bin 118-120.,Check circulation or separator condition before making a large feed correction.,65.49,75.14,80.2,49.91,53.43,56.17
2026-04-02 16:02:26,0,PPC,120.0,120-122,70.0,55.0,stable,stable,Optimal,0,Maintain current feed,Mill sound is 'stable' and bucket elevator condition is 'stable' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-02 16:05:03,0,PPC,120.0,120-122,55.0,70.0,overloaded,high_circulation,Severe overload,-3,Reduce feed by 3 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'high_circulation' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-02 16:05:08,0,PPC,120.0,120-122,55.0,70.0,overloaded,high_circulation,Severe overload,-3,Reduce feed by 3 TPH,Mill sound is 'overloaded' and bucket elevator condition is 'high_circulation' for feed bin 120-122.,,67.94,75.68,80.34,50.11,53.68,56.75
2026-04-02 17:22:46,1,OPC,120.0,120-122,58.0,70.0,overloaded,high_load,Severe overload,-2,Reduce feed by 2 TPH,Mill sound is 'overloaded' and bucket elevator load condition is 'high_load' for feed bin 120-122.,,63.52,71.45,76.65,56.12,61.73,68.72
